Insertion
Size range,Count,Total bp
50-500 bp,21,5088
500-10000 bp,0,0
Total,21,5088

Deletion
Size range,Count,Total bp
50-500 bp,26,5892
500-10000 bp,17,100953
Total,43,106845

Tandem_expansion
Size range,Count,Total bp
50-500 bp,6,1023
500-10000 bp,1,1624
Total,7,2647

Tandem_contraction
Size range,Count,Total bp
50-500 bp,1,189
500-10000 bp,0,0
Total,1,189

Repeat_expansion
Size range,Count,Total bp
50-500 bp,3,759
500-10000 bp,1,648
Total,4,1407

Repeat_contraction
Size range,Count,Total bp
50-500 bp,15,1220
500-10000 bp,15,46120
Total,30,47340

Total for all variants,106,163516 bp
Total for all structural variants,106,163516 bp
