Insertion
Size range,Count,Total bp
50-500 bp,40,4889
500-10000 bp,1,4588
Total,41,9477

Deletion
Size range,Count,Total bp
50-500 bp,36,4300
500-10000 bp,2,11846
Total,38,16146

Tandem_expansion
Size range,Count,Total bp
50-500 bp,1,90
500-10000 bp,1,596
Total,2,686

Tandem_contraction
Size range,Count,Total bp
50-500 bp,2,174
500-10000 bp,0,0
Total,2,174

Repeat_expansion
Size range,Count,Total bp
50-500 bp,7,800
500-10000 bp,0,0
Total,7,800

Repeat_contraction
Size range,Count,Total bp
50-500 bp,45,6693
500-10000 bp,5,15712
Total,50,22405

Total for all variants,140,49688 bp
Total for all structural variants,140,49688 bp
