>Q0010 Q0010 SGDID:S000007257, Chromosome Mito:3952..4338
>Q0017 Q0017 SGDID:S000007258, Chromosome Mito:4254..4415
>Q0032 Q0032 SGDID:S000007259, Chromosome Mito:11667..11957
>AI1 Q0050 SGDID:S000007261, Chromosome Mito:13818..16322
>AI2 Q0055 SGDID:S000007262, Chromosome Mito:13818..18830
>AI3 Q0060 SGDID:S000007263, Chromosome Mito:13818..19996
>AI4 Q0065 SGDID:S000007264, Chromosome Mito:13818..21935
>AI5_ALPHA Q0070 SGDID:S000007265, Chromosome Mito:13818..23167
>AI5_BETA Q0075 SGDID:S000007266, Chromosome Mito:24156..25255
>ATP8 Q0080 SGDID:S000007267, Chromosome Mito:27666..27812
>ATP6 Q0085 SGDID:S000007268, Chromosome Mito:28487..29266
>Q0092 Q0092 SGDID:S000007269, Chromosome Mito:30874..31014
>BI2 Q0110 SGDID:S000007271, Chromosome Mito:36540..38579
>BI3 Q0115 SGDID:S000007272, Chromosome Mito:36540..40265
>BI4 Q0120 SGDID:S000007273, Chromosome Mito:36540..42251
>OLI1 Q0130 SGDID:S000007274, Chromosome Mito:46723..46953
>VAR1 Q0140 SGDID:S000007275, Chromosome Mito:48901..50097
>Q0142 Q0142 SGDID:S000007276, Chromosome Mito:51052..51228
>Q0143 Q0143 SGDID:S000007277, Chromosome Mito:51277..51429
>Q0144 Q0144 SGDID:S000007278, Chromosome Mito:54109..54438
>SCEI Q0160 SGDID:S000007279, Chromosome Mito:61022..61729
>Q0182 Q0182 SGDID:S000007280, Chromosome Mito:65770..66174
>COX2 Q0250 SGDID:S000007281, Chromosome Mito:73758..74513
>Q0255 Q0255 SGDID:S000007282, Chromosome Mito:74495..75984
>COX3 Q0275 SGDID:S000007283, Chromosome Mito:79213..80022
>Q0297 Q0297 SGDID:S000007284, Chromosome Mito:85554..85709
>TFC3 YAL001C SGDID:S000000001, Chromosome I:147594..151166
>VPS8 YAL002W SGDID:S000000002, Chromosome I:143707..147531
>EFB1 YAL003W SGDID:S000000003, Chromosome I:142174..143160
>YAL004W YAL004W SGDID:S000002136, Chromosome I:140760..141407
>FUN14 YAL008W SGDID:S000000006, Chromosome I:136914..137510
>SPO7 YAL009W SGDID:S000000007, Chromosome I:135854..136633
>SWC3 YAL011W SGDID:S000000009, Chromosome I:132199..134076
>DEP1 YAL013W SGDID:S000000011, Chromosome I:129270..130487
>NTG1 YAL015C SGDID:S000000013, Chromosome I:126903..128102
>YAL016C-A YAL016C-A SGDID:S000028728, Chromosome I:124755..125069
>YAL016C-B YAL016C-B SGDID:S000028528, Chromosome I:124307..124492
>TPD3 YAL016W SGDID:S000000014, Chromosome I:124879..126786
>PSK1 YAL017W SGDID:S000000015, Chromosome I:120225..124295
>LDS1 YAL018C SGDID:S000000016, Chromosome I:118564..119541
>YAL019W-A YAL019W-A SGDID:S000028729, Chromosome I:114250..114819
>FUN30 YAL019W SGDID:S000000017, Chromosome I:114919..118314
>CCR4 YAL021C SGDID:S000000019, Chromosome I:110846..113359
>LTE1 YAL024C SGDID:S000000022, Chromosome I:101565..105872
>MAK16 YAL025C SGDID:S000000023, Chromosome I:100225..101145
>YAL026C-A YAL026C-A SGDID:S000028730, Chromosome I:95386..95823
